Welcome.started,Welcome.stopped,target_bottom.started,target_bottom.stopped,target_top.started,target_top.stopped,fixation_demo.started,fixation_demo.stopped,Staircase.label,Staircase.startVal,Staircase.stepType,Staircase.stepSizes,Staircase.maxVal,Staircase.minVal,Staircase.CorrectAns,Staircase.nUp,Staircase.nDown,Staircase.SOA,Staircase.thisIndex,Staircase.thisRepN,Staircase.thisN,Staircase.direction,Staircase.stepSize,Staircase.intensity,Staircase.response,participant,session,date,expName,psychopyVersion,frameRate,
72.79674013499994,None,72.79674013499994,None,72.79674013499994,None,72.79674013499994,None,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,1,0,start,-64,200,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,1,1,start,64,-200,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,2,2,up,-64,136,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,2,3,up,64,-136,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,3,4,up,-64,72,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,3,5,up,64,-72,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,4,6,up,64,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,4,7,up,-64,8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,5,8,down,-32,40,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,5,9,up,64,56,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
